country,year,estimate,hi,lo
DNK,2017,NA,NA,NA
DOM,2009,NA,0.28,0.36
DOM,2010,0.21,0.1,0.13
DOM,2011,0.08,0.43,0.55
DOM,2012,0.33,0.46,0.6
DOM,2013,0.36,0.64,0.81
DOM,2014,0.5,0.95,0.95
DOM,2015,0.95,0.95,0.95
DOM,2016,0.94,0.72,0.94
DOM,2017,0.56,0.8,0.95
DZA,2009,NA,NA,NA
DZA,2010,NA,NA,NA
DZA,2011,NA,0.38,0.42
DZA,2012,0.35,0.23,0.25
DZA,2013,0.21,0.55,0.6
DZA,2014,0.5,0.27,0.3
DZA,2015,0.25,0.23,0.25
DZA,2016,0.21,0.33,0.37
DZA,2017,0.31,0.61,0.68
ECU,2009,NA,0.01,0.01
ECU,2010,0,0.01,0.01
ECU,2011,0,0.95,0.95
ECU,2012,0.57,0.87,0.95
ECU,2013,0.49,0.21,0.31
ECU,2014,0.12,0.87,0.95
ECU,2015,0.51,0.54,0.78
ECU,2016,0.32,0.7,0.95
ECU,2017,0.4,0.69,0.95
EGY,2009,NA,0.04,0.04
EGY,2010,0.03,0.05,0.05
EGY,2011,0.04,0.04,0.05
EGY,2012,0.04,0.04,0.05
EGY,2013,0.04,0.04,0.04
EGY,2014,0.03,0.05,0.06
EGY,2015,0.05,0.07,0.08
EGY,2016,0.06,0.1,0.11
EGY,2017,0.09,0.11,0.12
ERI,2009,NA,NA,NA
ERI,2010,NA,NA,NA
ERI,2011,NA,NA,NA
ERI,2012,NA,NA,NA
ERI,2013,NA,0.27,0.38
ERI,2014,0.21,0.39,0.54
ERI,2015,0.31,0.36,0.51
ERI,2016,0.29,0.39,0.54
ERI,2017,0.3,0.15,0.21
ESP,2009,NA,NA,NA
ESP,2010,NA,NA,NA
ESP,2011,NA,NA,NA
ESP,2012,NA,NA,NA
ESP,2013,NA,NA,NA
ESP,2014,NA,NA,NA
ESP,2015,NA,NA,NA
ESP,2016,NA,NA,NA
ESP,2017,NA,NA,NA
EST,2009,NA,NA,NA
EST,2010,NA,NA,NA
EST,2011,NA,NA,NA
EST,2012,NA,NA,NA
EST,2013,NA,NA,NA
EST,2014,NA,NA,NA
EST,2015,NA,NA,NA
EST,2016,NA,NA,NA
EST,2017,NA,NA,NA
ETH,2009,NA,0.04,0.06
ETH,2010,0.03,0.4,0.61
ETH,2011,0.3,0.15,0.23
ETH,2012,0.12,0.24,0.36
ETH,2013,0.18,0.24,0.37
ETH,2014,0.18,0.25,0.37
ETH,2015,0.19,0.31,0.46
ETH,2016,0.23,0.45,0.68
ETH,2017,0.34,0.38,0.58
FIN,2009,NA,NA,NA
FIN,2010,NA,NA,NA
FIN,2011,NA,NA,NA
FIN,2012,NA,NA,NA
FIN,2013,NA,NA,NA
FIN,2014,NA,NA,NA
FIN,2015,NA,NA,NA
FIN,2016,NA,NA,NA
FIN,2017,NA,NA,NA
FJI,2009,NA,NA,NA
FJI,2010,NA,NA,NA
FJI,2011,NA,NA,NA
FJI,2012,NA,NA,NA
FJI,2013,NA,NA,NA
FJI,2014,NA,NA,NA
FJI,2015,NA,NA,NA
FJI,2016,NA,NA,NA
FJI,2017,NA,NA,NA
FRA,2009,NA,NA,NA
FRA,2010,NA,NA,NA
FRA,2011,NA,NA,NA
FRA,2012,NA,NA,NA
FRA,2013,NA,NA,NA
FRA,2014,NA,NA,NA
FRA,2015,NA,NA,NA
FRA,2016,NA,NA,NA
FRA,2017,NA,NA,NA
FSM,2009,NA,NA,NA
FSM,2010,NA,NA,NA
FSM,2011,NA,NA,NA
FSM,2012,NA,NA,NA
FSM,2013,NA,NA,NA
FSM,2014,NA,NA,NA
FSM,2015,NA,NA,NA
FSM,2016,NA,NA,NA
FSM,2017,NA,NA,NA
GAB,2009,NA,NA,NA
GAB,2010,NA,0.06,0.08
GAB,2011,0.05,0.27,0.35
GAB,2012,0.23,0.28,0.38
GAB,2013,0.24,0.16,0.21
GAB,2014,0.14,0.2,0.26
GAB,2015,0.17,0.24,0.31
GAB,2016,0.21,0.24,0.31
GAB,2017,0.21,0.04,0.05
GBR,2009,NA,NA,NA
GBR,2010,NA,NA,NA
GBR,2011,NA,NA,NA
GBR,2012,NA,NA,NA
GBR,2013,NA,NA,NA
GBR,2014,NA,NA,NA
GBR,2015,NA,NA,NA
GBR,2016,NA,NA,NA
GBR,2017,NA,NA,NA
GEO,2009,NA,0.61,0.77
GEO,2010,0.49,0.82,0.95
GEO,2011,0.66,0.69,0.85
GEO,2012,0.58,0.62,0.74
GEO,2013,0.5,0.58,0.71
GEO,2014,0.51,0.74,0.89
GEO,2015,0.63,0.77,0.93
GEO,2016,0.65,0.79,0.95
GEO,2017,0.64,0.84,0.95
GHA,2009,NA,NA,NA
GHA,2010,NA,0.01,0.01
